ddt.unwedding.txt: 离婚
tank.game.BuffTip274: 天使的治疗效果可额外增加{0}点血量。
game.braveDoor.selectDup.fail.msg: 英雄之门副本正在扫荡中!
tank.farm.validTips2: 提示：庄园币将于今晚12点清零
consortion.callBackView.chat.msg2: 经过公会成员的不懈努力，公会成员召回活动完成了，{0}奖励。
shop.ShopIIShoppingCarItem.forever: 永久 
tank.command.fightLibCommands.script.HighThrow.EasyHighThrow.command1: 首先我来说一下高抛打法适合的武器：
tank.game.BuffTip275: 能抵御拳击手的重拳攻击，并且增加全属性{0}点。
tank.teamDgnCross.txt1: 第一关：{0}
第二关：{1}
第三关：{2}
第四关：{3}
tank.farm.billboard.questTip1: 敲打好友劳工
consortion.callBackView.chat.msg3: 立即领取
supremacyContend.pointMatchCount: 预选赛次数:{0}
tank.command.fightLibCommands.script.HighThrow.EasyHighThrow.command2: 现在我们来说一下高抛打法的优缺点。优点就是受高地形影响较小，缺点就是受风力和高差影响比较大。
tank.lingstone.txt2: 攻击,防御,敏捷,幸运,血量,魔攻,魔抗,火攻,水攻,风攻,土攻,火抗,水抗,风抗,土抗,光攻,光抗,暗攻,暗抗
tank.eliteBattle.txt11: 是否消耗{0}{1}发送弹幕？
tank.game.BuffTip276: 能抵御拳击手的重拳攻击，并且增加全属性{0}点。
ddt.dungeonRoom.normalMap.tipText: 剩余通关次数
BOSS关 <font color="#FF0000">{0}</font>/{1}次\
tank.farm.billboard.questTip2: 收购道具：{0}
callBackFund.frame.contentText: 一次性购买{0}点券，立即获得{1}绑定点券次日起，连续6天，
每天可领取{2}绑定点券。
                   共计{3}绑定点券！
tank.command.fightLibCommands.script.HighThrow.EasyHighThrow.command3: 高抛打法是一种力度相对不变，调整角度的打法。在无风状态下，发射力度95，发射角度为90-（与目标的屏距）。
tank.game.BuffTip277: 能抵御拳击手的重拳攻击，并且增加全属性{0}点。
tank.farm.menu.goodsItem1_0: 种植|种植中
callBackFund.frame.bindQuanText: {0}绑定点券
tank.room.ActivityDungeon.roomPromptDes: 今日参加七夕谜岛副本的次数已用完!
tank.command.fightLibCommands.script.HighThrow.EasyHighThrow.command5: 我们首先将角度调整到90度附近，然后按照刚才所说的方法，试验一下。
tank.eliteBattle.txt13: 组队成功后本届友谊精英赛将无法更换队友，确认邀请？
tank.game.BuffTip278: 能抵御拳击手的重拳攻击，并且增加全属性{0}点。
game.braveDoor.sweepDup.sweepTxt: 扫荡
tank.farm.menu.goodsItem2_0: 养殖|养殖中
callBackFund.frame.leftDayText: 剩余{0}天
tank.command.fightLibCommands.script.HighThrow.EasyHighThrow.command6: 恭喜您打中了，现在您做好进行初级训练的准备了吗？
tank.teamDgnCross.exchangeHost: {0}想把房主转让给您，是否接受？
shop.PresentFrame.ComboBoxLabel: 赠送给
callBackFund.frame.receive: 领取完毕
tank.game.BuffTip279: 增加{0}点生命值。
tank.farm.menu.goodsItem2_2: 投食|投食中
tank.command.fightLibCommands.script.HighThrow.NormalHighThrow.command1: 这节课我们要训练在有风的情况下，如何计算发射角度。
tank.lingstone.txt3: 无可用的灵石孔槽镶嵌！
tank.game.BuffTip280: 增加{0}点生命值。
tank.farm.menu.goodsItem4_0: 养殖|养殖中
callBackFund.frame.receiveOverTip: 回归基金已全部领取完毕，祝您游戏愉快，谢谢！
tank.view.common.BellowStripViewII.back:  返回
tank.command.fightLibCommands.script.HighThrow.NormalHighThrow.command2: 本节课程介绍有风情况下高抛打法。具体的计算方法为：顺风角度计算：90度-屏距+风力×2；逆风角度计算：90度-屏距-风力×2。
tank.game.BuffTip281: 增加{0}点生命值。
tank.farm.menu.goodsItem4_2: 投食|投食中
callBackFund.frame.activityFinish: 回归基金活动结束！
tank.room.ActivityDungeon.countLimit: 该副本进入次数已用完
tank.command.fightLibCommands.script.HighThrow.DifficultHighThrow.command1: 在之前的课程中，我们都是在整数屏距与风力情况下训练的，如果遇到非整数的屏距与风力，怎么办呢？
tank.game.BuffTip282: 增加{0}点生命值。
game.braveDoor.sweepDup.sweepOkTxt: 扫荡完成!
tank.farm.menu.plant1: 确认种植<font color='#00941f'>{0}</font>？
callbackfund.buyFundTip: 是否花费{0}点券购买回归基金？
shop.PresentFrame.ChooseFriendButtonText: 选择好友
tank.command.fightLibCommands.script.HighThrow.DifficultHighThrow.command2: 我们可以对角度按照屏距、风力先进行四舍五入，算出所需近似角度，然后通过对力度进行一些微调，来校正角度带来的误差。如果您明白了，那我们开始进行高级训练吧！
tank.game.BuffTip283: 伤害和护甲增加{0}点。
tank.farm.menu.plant2: 确认养殖<font color='#00941f'>{0}</font>？
callbacklotterdraw.nextCDTimeTxt: 下次抽奖倒计时
tank.view.caddy.quickBuyKey: 天使魔锤
tank.command.fightLibCommands.script.SixtyDegree.DifficultSixtyDegreeScript.command1: 在之前的训练中，我们给出的都是整数的屏距，如果遇到非整数的屏距，怎么办呢？
tank.lingstone.txt4: 请先放入装备！
tank.game.BuffTip284: 伤害和护甲增加{0}点。
tank.equipAmulet.consumeStive: 消耗粉尘：<FONT COLOR='#ffd21e'>{0}/{1}</FONT>
tank.farm.menu.plant3: 确认使用<font color='#00941f'>{0}</font>进行开采？
callbacklotterdraw.discoutTxt: {0}折
tank.command.fightLibCommands.script.SixtyDegree.DifficultSixtyDegreeScript.command2: 本节课程训练非整数距65度打法。打法和前面的课程类似，需要计算近似力度，然后对力度进行微调。如果您明白了，那就开始训练吧！
tank.game.BuffTip285: 伤害和护甲增加{0}点。
tank.farm.menu.plant4: 确认养殖<font color='#00941f'>{0}</font>？
callbacklotterdraw.discoutNumArr: 一二三四五六七八九
tank.view.im.IMBlackList.add: 加入黑名单
tank.command.fightLibCommands.script.SixtyDegree.EasySixtyDegreeScript.command1: 首先我来说一下65度打法适合的武器：
tank.game.BuffTip286: 伤害和护甲增加{0}点。
game.braveDoor.sweepDup.sweepIngTxt: 扫荡进行中
tank.farm.menu.plantReplace1: 当前<font color='#00941f'>{0}</font>种植中，确定使用<font color='#00941f'>{1}</font>替换？
callbacklotterdraw.priceTxt: 原价: {0}
shop.PresentFrame.OkBtnText: 确定
tank.command.fightLibCommands.script.SixtyDegree.EasySixtyDegreeScript.command2: 现在我们来说一下65度打法的优缺点。优点就是受地形、高差影响比较小，缺点就是受风力影响比较大，而且对力度要求比较精确。
tank.game.BuffTip287: 救治中毒的小鸡士兵恢复血量额外增加{0}点。
tank.farm.menu.plantReplace2: 当前<font color='#00941f'>{0}</font>养殖中，确定使用<font color='#00941f'>{1}</font>替换？
callbacklotterdraw.newPriceTxt: 现价: {0}
tank.command.fightLibCommands.script.SixtyDegree.EasySixtyDegreeScript.command3: 下面我们来详细讲解一下打法。先看一下65度打法的力度表。
tank.lingstone.txt5: {0}级
tank.game.BuffTip288: 救治中毒的小鸡士兵恢复血量额外增加{0}点。
tank.farm.menu.plantReplace3: 当前使用<font color='#00941f'>{0}</font>开采中，确定使用<font color='#00941f'>{1}</font>替换？
callbacklotterdraw.buyGoodTip: 是否花费{0}点券购买{1}？
church.weddingRoom.frame.AddWeddingRoomFrame.titleText: 参加婚礼
tank.command.fightLibCommands.script.SixtyDegree.EasySixtyDegreeScript.command4: 结合我们之前学习的课程，我来说明一下，在无风状态下，角度为65度，相隔为1距时，发射力度为13，相隔为2距时，发射力度为21，以此类推，相隔为20距时，发射力度为85。
tank.game.BuffTip289: 救治中毒的小鸡士兵恢复血量额外增加{0}点。
tank.farm.menu.plantReplace4: 当前<font color='#00941f'>{0}</font>养殖中，确定使用<font color='#00941f'>{1}</font>替换？
callbacklotterdraw.zeroFresh: 活动已刷新，请重新打开活动！
tank.game.smallmap.simple1: 初级
tank.command.fightLibCommands.script.SixtyDegree.EasySixtyDegreeScript.command6: 我们首先将角度调整到65度，然后按照这个力度表试验一下。
tank.game.BuffTip290: 救治中毒的小鸡士兵恢复血量额外增加{0}点。
game.braveDoor.sweepDup.helpView.titleTxt: 扫荡小提示
tank.farm.menu.stopPlant1: 确定停止种植<font color='#00941f'>{0}</font>？
ddt.hall.scancode.title: 微信礼包
shop.PresentFrame.CancelBtnText: 取消
tank.command.fightLibCommands.script.SixtyDegree.EasySixtyDegreeScript.command7: 恭喜您打中了，现在您做好进行初级训练的准备了吗？
tank.game.BuffTip400: 增加{0}点生命值。
tank.farm.menu.stopPlant2: 确定停止养殖<font color='#00941f'>{0}</font>？
ddt.hall.scancode.avtivityNotOpen: 当前活动未开启,请稍后尝试.
ddt.view.academyCommon.RecommendPlayerCellView.apprentice: 收TA为徒
tank.command.fightLibCommands.script.SixtyDegree.NormalSixtyDegreeScript.command1: 欢迎来到65度打法中级场，在这里我们要训练的课程有风的情况下，要如何计算。在计算好力度的基础上，我们还要根据风速计算发炮角度。
tank.lingstone.txt6: 灵玉与武器类型不符,镶嵌失败
tank.game.BuffTip401: 攻击力增加{0}。
tank.farm.menu.stopPlant3: 确定停止使用<font color='#00941f'>{0}</font>进行开采？
ddt.hall.scancode.tipsText: 关注《弹弹堂》官方微信公众号，
一手掌握最新游戏动态，领取限量
微信礼包！不定期参与微信活动，
获得丰富游戏大奖！
tank.command.fightLibCommands.script.SixtyDegree.NormalSixtyDegreeScript.command2: 本节课程介绍有风情况下65度打法。具体的计算方法为：顺风角度计算：65度+风力×2；逆风角度计算：65度-风力×2。如果您明白了，那我们开始进行中级训练吧！
tank.game.BuffTip402: 增加{0}点生命值。
tank.farm.menu.stopPlant4: 确定停止养殖<font color='#00941f'>{0}</font>？
ddt.hall.scancode.helpText: 步骤一：打开微信，扫一扫右边二维码
步骤二：关注微信公众号，关注后查看消息
步骤三：回复对应字母，获取激活码
步骤四：在本页面输入激活码获得微信礼包
tank.game.smallmap.normal1: 中级
tank.command.fightLibCommands.script.HighGap.EasyHighGap.command1: 之前我们学习都是如何打同一水平线的敌人，但是实战中，经常出现高度差，这时候就需要考虑到高差的影响。
tank.game.BuffTip403: 攻击力增加{0}。
game.braveDoor.sweepDup.helpView.contenTxt: 1、不同关卡需求战力不同。战力越高，
扫荡消耗时间越短。
2、开始扫荡后，中途不可切换扫荡副
本，离线不影响扫荡
3、活动结束后未完成的扫荡次数将直
接清零,消耗的点券不返还,注意合理选
择扫荡轮次。
4、活动时间:晚22:00至次日10:00。
5、奖励在扫荡结束后通过邮件发送。
tank.farm.menu.feed2: 确认使用鱼食<font color='#00941f'>{0}</font>加速养殖？
ddt.angelInvestment.help: 购买投资后，有效期内每天可领取1次
        每天0点刷新
shop.CheckOutView.NeedToPayTipText: 需要支付
tank.command.fightLibCommands.script.HighGap.EasyHighGap.command2: 对于高差没有固定的公式来计算，但是可以通过对力度的调整来，一般来说，对方位置比你低，就需要在计算出力度的基础上减少一些力度。
tank.game.BuffTip404: 大范围攻击，很牛...
tank.farm.menu.feed4: 确认使用饲料<font color='#00941f'>{0}</font>加速养殖？
ddt.angelInvestment.dayTips: 剩余{0}天
tank.game.smallmap.difficulty1: 高级
ddt.angelInvestment.notBuy: 未购买
tank.lingstone.txt7: 请输入要消耗的玄晶钻数量
tank.game.BuffTip405: 攻击增加{0}。
tank.farm.menu.feedReplace2: 当前鱼食<font color='#00941f'>{0}</font>投放中，确定使用<font color='#00941f'>{1}</font>替换？
tank.view.common.BellowStripViewII.exit:  退出
tank.view.caddy.quickBless: 天使赐福
tank.game.BuffTip406: 伤害增加{0}。
tank.fightLib.Award.GetMessage: 你获得了
tank.farm.menu.feedReplace4: 当前饲料<font color='#00941f'>{0}</font>投放中，确定使用<font color='#00941f'>{1}</font>替换？
ddt.angelInvestment.notAllBuy: 没有可购买的投资
tank.fightLib.FightLibQuestionFrame.reAnswer: 重新测试
ddt.angelInvestment.notAllGet: 没有可领取的投资
tank.game.BuffTip407: 伤害增加{0}。
game.braveDoor.sweepDup.roundsDescTxt: (1轮=100关)
tank.farm.menu.stopFeed2: 确认停止使用鱼食？
shop.CheckOutView.CommodityNumberTip: 共计       件商品
ddt.angelInvestment.buyAllAlter: 是否花费 <FONT COLOR='#ff002a'><B>{0}</B></FONT> 点券购买所有的投资项目?
tank.game.BuffTip11: 血量上限增加{0}点。
tank.fightLib.FightLibQuestionFrame.viewTutorial: 去看教程
tank.farm.menu.stopFeed4: 确认停止使用饲料？
tank.hall.ChooseHallView.campaignLabAlert: 训练场
ddt.angelInvestment.buyAlter: 是否花费 <FONT COLOR='#ff002a'><B>{0}</B></FONT> 点券购买该投资？
tank.lingstone.txt8: 输入玄晶钻数量
tank.game.BuffTip12: 攻击命中时额外增加{0}点伤害。
tank.equipAmulet.consumeMoney: 消耗点券：<FONT COLOR='#ffd21e'>{0}</FONT>
tank.farm.menu.upgradeDecsTips: 确认消耗<font color='#ff0000'>{0}</font>升级为<font color='#00941F'>{1}</font>?
tank.hall.ChooseHallView.auction: 拍卖场
tank.view.caddy.quickBless1: 金赐福
tank.game.BuffTip13: 每次轮到自己回合激怒值额外增加{0}点。
tank.farm.menu.upgradeDecs1: {0}级农场
ddt.angelInvestment.itmeTips: 购买后,每天可以领取{0}个{1}
tank.hall.ChooseHallView.church: 结婚礼堂
ddt.store.exaltRestoreTips: 根据幸运值消耗一定数量的
点券，保留一定幸运值，并
返还所有进阶石，返回的进
阶石有效期为7天。
tank.game.BuffTip14: 命中时出现暴击，则额外增加{0}点暴击伤害。
game.braveDoor.sweepDup.roundCount.errorMsg: 扫荡轮数输入错误，不能为空！
tank.farm.menu.upgradeDecs2: {0}级鱼塘
shop.CheckOutView.CommodityPricesText1Label: 点券
ddt.store.exaltRestoreAlter: 是否花费 <FONT COLOR='#ff002a'><B>{0}</B></FONT> 点券还原进阶石?
tank.game.BuffTip15: 移动时不消耗体力。
tank.hall.ChooseHallView.civil: 交友中心
tank.farm.menu.upgradeDecs3: {0}级矿洞
tank.hall.ChooseHallView.consortia: 公会俱乐部
server.loginCountTimeOutMsg: 目前服务器登录人数较多，请排队等候
您前面还有r人，约r秒
tank.lingstone.txt9: 灵玉属性生效：{0}%
tank.game.BuffTip16: 攻击命中时可额外增加{0}点怒气值。
tank.farm.menu.upgradeDecs4: {0}级牧场
tank.hall.ChooseHallView.hotWell: 温泉
tank.view.caddy.quickBless2: 银赐福
game.braveDoor.sweepDup.outView.logTitleTxt: 第{0}轮 第{1}波
tank.game.BuffTip17: 攻击、防御、敏捷、幸运属性各增加{0}点。
ddQiYuan.frame.buyTenTxt: 购买十次
server.loginCountTimeOutMsg2: 正在重新为您尝试登录...
tank.hall.ChooseHallView.roomList: 竞技大厅
game.braveDoor.sweepDup.sweepIngMgs: 未获得物品
tank.farm.menu.upgradeDecs5: {0}级土地
tank.game.BuffTip18: 血量上限增加{0}点。
tank.farm.menu.upgradeDecs6: {0}级矿锄
shop.CheckOutView.CommodityPricesText2Label: 绑定点券 
ddt.wasteRecycle.title: 变废为宝
tank.game.BuffTip19: 被击时可减少{0}点伤害
tank.hall.ChooseHallView.shop: 购物中心
tank.farm.menu.upgradeOpenTips: 确认消耗<font color='#ff0000'>{0}</font>开启<font color='#00941F'>{1}</font>?
tank.hall.ChooseHallView.tofflist: 名人堂
ddt.wasteRecycle.tips: 注:可将指定道具进行回收获得抽奖积分.
   每{0}积分抽一次,活动结束积分清零.
tank.game.BuffTip20: 攻击命中时额外提高{0}%的伤害。
game.braveDoor.sweepDup.outPutView.titleTxt: <font color='#f6eeba' SIZE='14'>第{0}轮 第{1}波</font>
tank.lingstone.txt10: 灵石孔已经全部开启！
tank.hall.ChooseHallView.dungeon: 远征码头
tank.view.caddy.quickBoxKey: 快速购买{0}
ddt.wasteRecycle.lotteryScore: 抽奖积分：{0}
tank.farm.menu.upgradeItem1: 升级农场
tank.game.BuffTip21: 进入关卡时初始携带{0}点怒气。
tank.farm.menu.upgradeItem2: 升级鱼塘
tank.hall.ChooseHallView.master: 师徒圣殿
ddt.wasteRecycle.loadDataFail: 加载变废为宝物品模版表失败!
tank.game.BuffTip22: 每回合受到的灼烧伤害可减少{0}点。
tank.equipAmulet.fullGrade: 当前护身符等级已满
shop.ShopLeftView.BodyInfo.RandomBtnText: 随机
ddt.view.academyCommon.academyRequest.AcademyRequestMasterFrame.explainText: 留下你的拜师宣言吧！
ddt.wasteRecycle.gainGoodsTips: 恭喜你获得：{0}
tank.farm.menu.upgradeItem3: 升级矿洞
tank.game.BuffTip23: 可在邪炎巨龙的怒吼攻击中屹立不动。
tank.hall.ChooseHallView.openBuildTip: 恭喜你开启{0}功能!
tank.farm.menu.upgradeItem4: 升级牧场
ddtBagAndInfo.hasNoMerry.info: 请结婚后使用！
ddt.wasteRecycle.inputFrameTitle: 变废为宝输入框
tank.game.BuffTip24: 防御属性提高{0}%。
game.braveDoor.sweepDup.outPutView.contenTxt: {0}
tank.lingstone.txt11: 技能槽(左上位置)尚未解锁,无法镶嵌技能
tank.view.common.BellowStripViewII.shortcut:  左键点击，将弹弹堂保存到桌面。
tank.view.caddy.Bless: 天使赐福数量不足
ddt.wasteRecycle.turning: 正在抽奖中
tank.farm.menu.upgradeItem5: 升级土地
tank.game.BuffTip25: 每回合受到的中毒伤害可减少{0}点。
store.view.strength.clew: <FONT SIZE='16' FACE='Arial' KERNING='2' COLOR='#FF0000'><B>使用五级强化石可以使强化几率更高哦,
  通过熔炼4级强化石就可以获得啦！</B></FONT>
tank.farm.menu.upgradeLimitTips: 庄园等级{0}级
tank.auctionHouse.view.BrowseLeftMenuView.qianghua5: 强化石5级
ddt.wasteRecycle.selectGoodsCount: 物品回收数量：
tank.game.BuffTip26: 天使的治疗效果可额外增加{0}点血量。
tank.farm.menu.upgradeLimitTips5: 农场等级{0}级
shop.ShopLeftView.BodyInfo.RankingtLabel: 排名
ddt.wasteRecycle.inputCountTips: 输入数量与实际数量不符！
tank.game.BuffTip27: 能抵御拳击手的重拳攻击。
tank.bagAndInfo.ringSkill.notGet: 未获得
tank.farm.menu.upgradeLimitTips6: 矿洞等级{0}级
tank.bagAndInfo.ringSkill.fullLevel: 已满级
tank.lingstone.txt12: 技能灵玉最多可镶嵌1枚
tank.game.BuffTip31: 每次攻击伤害的3%将转换为自己的生命值。
tank.farm.menu.areaTips1: {0}可提升作物<font color='#18FF0D'>{1}%</font>的成长速度，且种植过程中有几率获得各类稀有作物
tank.bagAndInfo.ringSkill.nextLevel: 下级:{0}Lv{1}
  {2}
tank.view.caddy.EmptyBox: {0}数量不足。
tank.game.BuffTip32: 每次被攻击时，将承受伤害的5%反弹给攻击你的玩家，但是不会反弹死玩家。
tank.farm.menu.areaTips2: {0}可提升鱼苗<font color='#18FF0D'>{1}%</font>的生长速度，且养殖过程中有几率获得各类稀有鱼类
game.braveDoor.sweepDup.helpView.sweepCostTip: 确定花费{0}点券进行扫荡？
tank.bagAndInfo.ringSkill.nextUnLock: 解锁:情意等级≥{0}
game.cardCollectAward.firstItem.title: 体验感
tank.game.BuffTip101: 受到的治疗效果提高{0}点。
tank.farm.menu.areaTips3: {0}可提升矿石<font color='#18FF0D'>{1}%</font>的开采速度，且开采过程中有几率获得各类稀有矿物
shop.ShopLeftView.BodyInfo.RandomBtnTipText: 随机搭配一个造型
game.cardCollectAward.verificationNumber.errorMsg: 请输入正确的号码!
tank.game.BuffTip102: 伤害增加{0}点。
tank.view.caddy.EmptyKey: 锤子数量不足。
tank.farm.menu.areaTips4: {0}可提升牧畜<font color='#18FF0D'>{1}%</font>的生长速度，且养殖过程中有几率获得各类稀有牧畜
tank.consortia.myconsortia.MyConsortiaMemberInfoItem.long: 很 久
tank.labyrinth.resetAlert: 您确定花费{0}点券重置秘境么？
tank.equipAmulet.notUpgradeGoods: 没有升级所需要的物品
tank.game.BuffTip103: 暴击伤害增加{0}点。
tank.farm.menu.areaTips5: {0}可提升作物<font color='#18FF0D'>{1}%</font>的成长速度
game.cardCollectAward.textAreaTipMgs: 请输入你对弹弹堂的建议
tank.consortia.myconsortia.MyConsortiaMemberInfoItem.month: 1个月以上
tank.command.fightLibCommands.script.HighGap.EasyHighGap.command3: 高差打法没有固定的公式计算，对方位置比你低，需要相应减少开炮力度；对方位置比你高，需要相应增加力度。如果您明白了，那我们开始进行初级训练吧！
game.cardCollectAward.qqInputErrorMsg: 请输入正确的4至11位QQ号码!
tank.game.BuffTip104: 增加人物等级血量上限{0}%点。
supremacyContend.integralMatch.rankTitleTxt: 巅峰排行榜
tank.farm.menu.areaTips6: {0}可提升矿石<font color='#18FF0D'>{1}%</font>的开采速度，且有几率获得各类稀有矿石。
tank.hotSpring.room.load.error: 房间信息加载失败，请重新进入
tank.game.BuffTip105: 提升攻防敏幸属性{0}点。
tank.farm.tips.not: 无
game.cardCollectAward.phoneInputErrorMsg: 请输入正确的11位手机号码!
shop.ShopLeftView.BodyInfo.LastEquipTipText: 还原到上一步形象
tank.menu.fireConfirm: 您确定要开除“{0}”?
tank.game.BuffTip106: 移动消耗体力降低{0}%。
tank.view.caddy.rightTitleTip: 开启魔罐需消耗4个锤子。
tank.farm.workingTips: 该名员工已在<font color='#00941F'>{0}</font>工作，是否确定调岗？
wonderful.daySupplyAwardTotal: 本轮募捐已充值：{0}点券
tank.timeBox.awardsInfo: 奖励
tank.tenYearAnniversary.auctionNoOpen: 未在竞拍时段内，不能进行商品竞拍。
tank.equipAmulet.upgradeComplete: 护身符成功升到{0}级，累计消耗{1}道具{2}个！
tank.game.BuffTip107: 体力值上限增加{0}点。
tank.farm.shop.notBuy: 庄园币不足
wonderful.daySupplyAwardTime: {0}小时
ddt.view.academyCommon.academyRequest.AcademyRequestApprenticeFrame.account: 拜我为师吧，跟着师傅有肉吃!
tank.timeBox.awardsBtn: 领取奖励
tank.game.BuffTip108: 增加效果回合。
tank.farm.shop.price: 庄园币
wonderful.daySupplyAwardLackTime: <1小时
tank.timeBox.awardsTitle: 首次领取奖励
tank.game.BuffTip109: 战斗获得功勋增加{0}倍。
tank.farm.view.employProtectDate: 合约保护时间:{0}
wonderful.daySupplyAwardGreaterTime: {0}天
shop.ShopLeftView.MoneyPanelTip: 您目前拥有
tank.timebox.second: 秒
tank.game.BuffTip110: 战斗经验、翻牌金币获取增加{0}%。
tank.view.caddy.VipDescTxt: VIP6开启加速
tank.farm.view.protectDate: 保护时间:{0}
wonderful.daySupplyAwardDay: 第{0}天
tanl.timebox.tipMes: 倒计时结束后 ,您将获得丰厚的物品奖励
tank.tenYearAnniversary.auctionNotInPrice: 竞拍价格不能低于起拍价或者历史竞拍价格！
tank.equipAmulet.upgradeFail: 护身符升级失败
tank.game.BuffTip111: 使用加血道具时加血量增加{0}%。
tank.farm.alertFeedTip: 喂食成功后可提升<font color='#ff0000'>{0}</font>点饱食度
ddt.SignActivity.title: 每日签到
FPSView.as.InviteAlertPanel.ruguo:  如果您在{0}秒没有反应，系统将默认拒绝！
tanl.timebox.LimitAwardTip: 本次活动将在倒计时为零时结束，请弹友们赶紧参加吧
tank.game.BuffTip112: 攻击时可使对方怒气减少{0}%。
tank.farm.changeTips: 确定花费<font color='#ff0000'>{0}</font>点券将雇员绰号修改为
signActivityFrame.helpTxt: 1.活动期间登录游戏可获得奖励。
2.每个帐号只能获得一次签到奖励。
3.玩家在第N天登录只能领取对应第N天的奖励。
4.连续登录N天可以额外获得对应的奖励
tank.game.ToolStripView.chat: 快速聊天
tank.game.GameView.RouletteBattle: 宝箱抽奖
shop.ShopLeftView.CartPaneText: 我的钱包
tank.farm.sendGiftTips: 确认是否花费<font color='#ff0000'>{0}</font>点券恢复<font color='#00941F'>"{1}"</font>10点心情值？
signActivityFrame.activeTimeTxt: 活动时间:{0} -- {1}
tank.view.caddy.awardRecord: 奖励记录
tank.dialog.showbugleframe.rouletteKey: 钥匙快速购买
shop.ShopLeftView.ColorPaneText: 调色板
tank.equipAmulet.notStive: 当前粉尘不足，是否购买?
tank.farm.remindMoodTip: 只有上岗中的雇员才可以进行该操作
signActivityFrame.notInActivityTime: 不在活动时间内
tank.equipAmulet.buyStiveCount: 当天购买粉尘次数已满
tank.view.rouletteView.title: 梦幻轮盘
tank.tenYearAnniversary.des1: 竞拍开始倒计时:
shop.ShopRightView.TopBtn.recommend: 推荐
tank.farm.workEnd: 当前雇员正在工作中，是否下岗？
ddt.tryonSystem.tryon: 请选择奖励物品
tank.view.store.consortiaRateI: 你还没有加入公会
tank.ddtkingGrade.usableNum: 可用点数：{0}
shop.ShopRightView.TopBtn.equipment: 装备
tank.equipAmulet.buyStiveTip: 是否消耗{0}点券,获得{1}点粉尘,今日还可购买{2}次.
supremacyContend.integralMatch.lookAwardTitleTxt: 查看奖励
FPSView.as.InviteAlertPanel.ModeLabel:  游戏模式：
tank.view.store.consortiaRateII: 公会贡献度:{0}/{1}
tank.ddtkingGrade.tips: 注：单项属性最多增加10%
tank.farm.dismissalTitle: 解雇
shop.ShopRightView.TopBtn.beautyup: 美容
tank.farm.dismissalDecs: 确定与雇员<font color='#00941F'>"{0}"</font>解除合同？
解雇后雇员将恢复自由身份！
tank.view.caddy.badluckf: 幸运排行
tank.view.store.consortiaRateIII: 需要公会铁匠铺等级大于0
game.vipCoupons.useVipCouponsMgs: 使用后3天内开启vip可享
受折扣,是否马上使用?
shop.ShopRightView.TopBtn.prop: 道具  
tank.farm.hireTitle: 雇佣
church.weddingRoom.frame.AddWeddingRoomFrame.into: 进 入
tank.view.store.consortiaRateIV: 通过强化额外获得的成功率提升
game.vipCoupons.tasteVipCouponsMgs: 恭喜您获得{0}折开启vip权
利!即刻体验?
shop.ShopRightView.TopBtn.discount: 打折区
tank.farm.hireDecs: 确定花费<font color='#ff0000'>{0}庄园币</font>雇佣<font color='#00941F'>"{1}"</font>成为您的农场员工？
tank.tenYearAnniversary.des2: 竞拍结束倒计时:
tank.view.effort.EffortTaskView.target: 目标:
game.vipCoupons.sendVip.titleTxt: VIP赠送
shop.ShopRightView.SubBtn.hotSale: 热卖
tank.equipAmulet.buyFreeStive: 每天首次购买免费，是否免费获得50点粉尘?
FPSView.as.InviteAlertPanel.meifanying:  如果您在15秒没有反应，系统将默认拒绝！
tank.view.effort.EffortTaskView.reward: 奖励:
game.vipCoupons.sendVip.vipCouponsCount: VIP折扣赠送券不足!
tank.farm.buyOutTitle: 买断
shop.ShopRightView.SubBtn.recommend: 新品
tank.farm.buyOutDecs: 确定花费<font color='#ff0000'>{0}点券</font>从老板<font color='#00941F'>"{1}"</font>手中买断雇员<font color='#00941F'>"{2}"</font>成为您的农场员工？
tank.view.caddy.exchangeTxt: 道具可折算成积分
积分能换天使赐福
tank.view.effort.EffortCategoryTitleItem.FULL: 总 览
shop.ShopRightView.SubBtn.discount: 优惠
tank.goldHappy.awardType1: 返还参与金额{0}%绑定点券
tank.farm.buyFail: 庄园币不足！
tank.view.effort.EffortCategoryTitleItem.INTEGRATION: 其 他
tank.tenYearAnniversary.des3: 竞拍已经结束
shop.ShopRightView.SubBtn.weapon: 武器
tank.farm.sellPriceTips: 出售成功后获得<font color='#ff0000'>{0}庄园币</font>
tank.equipAmulet.activateTip: 本次洗炼需要消耗{0}粉尘,{1}点券,是否继续?
ddt.view.academyCommon.academyRequest.AcademyRequestApprenticeFrame.submitLabel: 我要收徒
tank.view.effort.EffortCategoryTitleItem.PART: 角 色
shop.ShopRightView.SubBtn.cloth: 衣服
game.vipCoupons.vipSendFrame.sendToOther: 和我一起升级为尊贵的VIP吧！
load: 加载
tank.equipAmulet.activateComplete: 护身符洗炼成功
FPSView.as.InviteAlertPanel.yaoqingniboss:  邀请您加入他的BOSS战房间
tank.view.effort.EffortCategoryTitleItem.TASK: 任 务
tank.equipAmulet.buyStiveComplete: 购买成功
supremacyContend.awardData.loadError: 至尊之巅奖励模板数据加载失败!
shop.ShopRightView.SubBtn.hat: 帽子
tank.farm.upgradeAlertTitle: 升级
tank.view.caddy.exchangeText1: 您的赐福积分小于30点，不可以兑换
tank.view.effort.EffortCategoryTitleItem.DUNGEON: 副 本
